name,address,rankingPosition,rating,description,numberOfReviews,priceLevel,priceRange,latitude,longitude
The Frog at Bercy Village,"25 Cour Saint Emilion, 75012 Paris France",19,4.5,"THE FROG AT BERCY VILLAGE is situated in an historic Parisian wine chai. It has open beams, limestone walls and a split-level interior, with two charming terraces. The magnificent English custom-designed and manufactured microbrewery is a main feature in this pub & produces 10,000 pints of our six original craft beers each week.",2292,$$ - $$$,$11 - $17,48.8329642,2.3862318
Assanabel Saint-Germain,"38 rue Jacob, 75006 Paris France",15,4.5,"Assanabel Paris, les restaurants où notre spécialité est la délicieuse cuisine libanaise créée avec ingéniosité et passion inspirée des plus belles saveurs du Liban. Depuis 1988, nous prenons soin d’innover en fonction de vos goûts tout en préservant tradition et qualité. Venez donc découvrir la cuisine du pays du cèdre chez le meilleur restaurant libanais à Paris !",232,$$ - $$$,$20 - $90,48.8556729,2.3336172
114 Faubourg,"114 rue du Faubourg Saint Honore, 75008 Paris France",35,4.5,"La brasserie étoilée Récompensé par une étoile au guide Michelin, le 114 Faubourg est devenu la brasserie chic du Tout Paris. L’escalier en fer forgé participe à l’ambiance élégante et chaleureuse du lieu tandis que la cuisine ouverte rend l’espace si convivial. C’est dans un esprit de famille que l'équipe du 114 Faubourg accueille ses convives. En coulisses, la brigade supervisée par Eric Frechon vous régale.",1953,$$$$,,48.8718416,2.3144851
Nell'Arte,"58 rue Marguerite de Rochechouart, 75009 Paris France",14,5,,350,$$ - $$$,$12 - $20,48.8805655,2.3464647
Le Comptoir Boutary,"32 Rue Catherine De La Rochefoucauld, 75009 Paris France",12,5,Cuisine de marché et Vins de caractère,269,$$ - $$$,$20 - $50,48.8791711,2.3348244
Frog XVI,"110 B avenue Kleber, 75116 Paris France",18,4.5,"FROG XVI is situated in the 16th arrondissement, one of the capital's most cosmopolitan quarters, popular with tourists and Parisians alike. FROG XVI is stylishly decorated whilst conserving the warmth and conviviality of an English pub. We're proud to boast a magnificent microbrewery and a bar/restaurant on two levels.",2170,$$ - $$$,$11 - $17,48.8712924,2.2932078
Alix et Mika - Tartares sur mesure,"37 rue Lamarck, 75018 Paris France",10,5,,797,$$ - $$$,$15 - $35,48.8892927,2.3416023
Pastamore,"37 Boulevard du Montparnasse, 75006 Paris France",23,5,,1946,$$ - $$$,$17 - $25,48.8449624,2.3212232
Pizzeria Arrivederci,"47 rue Gay Lussac, 75005 Paris France",2,5,Smart pizza place in 5arrondisement. Here you can taste real Italian pizza with all fresh productos... Just taste it and you travel to Italy!!!,2233,$$ - $$$,$9 - $22,48.8417454,2.3434754
B.Better,"26 rue Beautreillis, 75004 Paris France",20,5,"B.BETTER is a 100% Vegetal and 100% Gourmet restaurant. A complete offer, a top location and reasonable prices make B.BETTER, a unique place to rediscover street-food in a vegetal version in the heart of the capital. The recipes are inspired by the seasons and the ingredients we love. B.BETTER products are homemade, made to order and sourced as much as possible from local agriculture. A new concept, which we hope will make it possible to democratize the vegetable diet on a daily basis, while reducing our environmental impact. Strive for the best and respect our planet without forgetting to have fun! ""Nobody's Perfect, Be Better."" Erika & Lucas (founders of B.BETTER)",101,$$ - $$$,$15 - $30,48.8535693,2.3644401
